C001|1|0|0|0|2200|1180|640|900|820|0|0|0|0|0|2460|1330|640|900|820
C001|1|0|0|4|2200|1180|640|900|820|16|8|5|6|6|2476|1338|645|906|826
C001|1|0|0|20|2200|1180|640|900|820|102|55|30|42|38|2562|1385|670|942|858
C001|1|0|0|60|2200|1180|640|900|820|335|180|97|137|125|2795|1510|737|1037|945
C001|1|0|0|100|2200|1180|640|900|820|604|324|176|247|225|3064|1654|816|1147|1045
C001|1|0|1|0|2226|1194|648|911|830|0|0|0|0|0|2486|1344|648|911|830
C001|1|0|1|4|2226|1194|648|911|830|16|9|5|7|6|2502|1353|653|918|836
C001|1|0|1|20|2226|1194|648|911|830|103|55|30|42|38|2589|1399|678|953|868
C001|1|0|1|60|2226|1194|648|911|830|339|182|99|139|126|2825|1526|747|1050|956
C001|1|0|1|100|2226|1194|648|911|830|611|328|178|250|228|3097|1672|826|1161|1058
C001|1|0|12|0|2517|1350|732|1030|938|0|0|0|0|0|2777|1500|732|1030|938
C001|1|0|12|4|2517|1350|732|1030|938|18|10|5|7|7|2795|1510|737|1037|945
C001|1|0|12|20|2517|1350|732|1030|938|117|63|34|48|43|2894|1563|766|1078|981
C001|1|0|12|60|2517|1350|732|1030|938|383|206|111|157|143|3160|1706|843|1187|1081
C001|1|0|12|100|2517|1350|732|1030|938|691|370|201|283|257|3468|1870|933|1313|1195
C001|1|1|0|0|2244|1204|653|918|836|0|0|0|0|0|2504|1354|653|918|836
C001|1|1|0|4|2244|1204|653|918|836|16|9|5|7|6|2520|1363|658|925|842
C001|1|1|0|20|2244|1204|653|918|836|104|56|30|43|39|2608|1410|683|961|875
C001|1|1|0|60|2244|1204|653|918|836|342|183|99|140|127|2846|1537|752|1058|963
C001|1|1|0|100|2244|1204|653|918|836|616|330|179|252|229|3120|1684|832|1170|1065
C001|1|1|1|0|2270|1218|660|929|846|0|0|0|0|0|2530|1368|660|929|846
C001|1|1|1|4|2270|1218|660|929|846|16|9|5|7|6|2546|1377|665|936|852
C001|1|1|1|20|2270|1218|660|929|846|105|56|31|43|39|2635|1424|691|972|885
C001|1|1|1|60|2270|1218|660|929|846|346|186|101|142|129|2876|1554|761|1071|975
C001|1|1|1|100|2270|1218|660|929|846|623|334|181|255|232|3153|1702|841|1184|1078
C001|1|1|12|0|2561|1374|745|1048|954|0|0|0|0|0|2821|1524|745|1048|954
C001|1|1|12|4|2561|1374|745|1048|954|18|10|5|8|7|2839|1534|750|1056|961
C001|1|1|12|20|2561|1374|745|1048|954|119|64|35|49|44|2940|1588|780|1097|998
C001|1|1|12|60|2561|1374|745|1048|954|390|209|113|160|145|3211|1733|858|1208|1099
C001|1|1|12|100|2561|1374|745|1048|954|703|377|204|288|262|3524|1901|949|1336|1216
C001|1|6|0|0|2464|1322|717|1008|918|0|0|0|0|0|2724|1472|717|1008|918
C001|1|6|0|4|2464|1322|717|1008|918|18|10|5|7|7|2742|1482|722|1015|925
