alias,content_id,name,title,path,avatar_file,avatar_url,wiki_url
dcj,589692,光摩根,无与伦比的摩根,五星天子图鉴 / 五星光属性 / 光摩根,avatars_wiki/dcj_589692.png,https://cdnimg.gamekee.com/wiki2.0/images/w_69/h_67/1164/56174/2023/3/27/817531.png,https://www.gamekee.com/dcj/589692.html
dcj,162037,奥拉夫,大力无双哈托尔,五星天子图鉴 / 五星光属性 / 奥拉夫,avatars_wiki/dcj_162037.png,https://cdnimg-v2.gamekee.com/wiki2.0/images/w_583/h_311/1164/176744/2022/6/13/681173.png,https://www.gamekee.com/dcj/162037.html
dcj,591397,狄刻,狄刻（奶光）,五星天子图鉴 / 五星光属性 / 狄刻,avatars_wiki/dcj_591397.png,https://cdnimg.gamekee.com/wiki2.0/images/w_109/h_118/1164/56174/2023/4/25/421326.png,https://www.gamekee.com/dcj/591397.html
dcj,165267,双马尾,双马尾,五星天子图鉴 / 五星光属性 / 双马尾,avatars_wiki/dcj_165267.png,https://cdnimg-v2.gamekee.com/wiki2.0/images/w_800/h_329/1164/176744/2022/7/19/793055.png,https://www.gamekee.com/dcj/165267.html
dcj,578783,奥菲斯,奥菲斯,五星天子图鉴 / 五星光属性 / 奥菲斯,avatars_wiki/dcj_578783.png,https://cdnimg.gamekee.com/wiki2.0/images/w_237/h_237/1164/56174/2022/11/15/354151.png,https://www.gamekee.com/dcj/578783.html
dcj,586064,蒙德斯,蒙德斯,五星天子图鉴 / 五星光属性 / 蒙德斯,avatars_wiki/dcj_586064.png,https://cdnimg.gamekee.com/wiki2.0/images/w_98/h_101/1164/56174/2023/2/16/229895.png,https://www.gamekee.com/dcj/586064.html
dcj,164768,守护神奥佩普,守护神奥佩普,五星天子图鉴 / 五星光属性 / 守护神奥佩普,avatars_wiki/dcj_164768.png,https://cdnimg.gamekee.com/wiki2.0/images/w_24/h_37/1164/176744/2022/7/12/380977.png,https://www.gamekee.com/dcj/164768.html
dcj,95754,猎户座,奥利奥恩,五星天子图鉴 / 五星光属性 / 猎户座,avatars_wiki/dcj_95754.png,https://cdnimg-v2.gamekee.com/images/www/1641268894183_63896531.png,https://www.gamekee.com/dcj/95754.html
dcj,162038,密涅瓦,英杰 密涅瓦,五星天子图鉴 / 五星光属性 / 密涅瓦,avatars_wiki/dcj_162038.png,https://cdnimg-v2.gamekee.com/wiki2.0/images/w_512/h_266/1164/176744/2022/6/14/969549.png,https://www.gamekee.com/dcj/162038.html
dcj,162024,阿克拉西亚,偶像阿克拉西亚,五星天子图鉴 / 五星光属性 / 阿克拉西亚,avatars_wiki/dcj_162024.png,https://cdnimg-v2.gamekee.com/wiki2.0/images/w_584/h_351/1164/176744/2022/6/13/982966.png,https://www.gamekee.com/dcj/162024.html
dcj,89396,相机,完美的波坦,五星天子图鉴 / 五星光属性 / 相机,,https://cdnimg-v2.gamekee.com/images/www/1633000883485_59999357.png,https://www.gamekee.com/dcj/89396.html
dcj,164766,薇薇安,茶杯,五星天子图鉴 / 五星光属性 / 薇薇安,avatars_wiki/dcj_164766.png,https://cdnimg-v2.gamekee.com/wiki2.0/images/w_1480/h_774/1164/176744/2022/7/12/146557.png,https://www.gamekee.com/dcj/164766.html
dcj,578920,米莉亚（限定）,米莉亚,五星天子图鉴 / 五星光属性 / 米莉亚（限定）,avatars_wiki/dcj_578920.png,https://cdnimg-v2.gamekee.com/wiki2.0/images/w_1544/h_8874/1164/63428/2022/9/16/558277.png,https://www.gamekee.com/dcj/578920.html
dcj,83031,光豹子,诺托斯,五星天子图鉴 / 五星光属性 / 光豹子,avatars_wiki/dcj_83031.png,https://cdnimg-v2.gamekee.com/images/www/1626354066606_10517890.png,https://www.gamekee.com/dcj/83031.html
dcj,578918,彼列,彼列,五星天子图鉴 / 五星光属性 / 彼列,avatars_wiki/dcj_578918.png,https://cdnimg-v2.gamekee.com/wiki2.0/images/w_1544/h_8297/1164/63428/2022/9/27/962722.png,https://www.gamekee.com/dcj/578918.html
dcj,84125,印第安人,玛丽奇.钱德拉甘塔,五星天子图鉴 / 五星光属性 / 印第安人,avatars_wiki/dcj_84125.png,https://cdnimg-v2.gamekee.com/images/www/1627545570587_28527889.png,https://www.gamekee.com/dcj/84125.html
dcj,81429,光狗,莱西,五星天子图鉴 / 五星光属性 / 光狗,avatars_wiki/dcj_81429.png,https://cdnimg-v2.gamekee.com/images/www/1624783802570_95778221.png,https://www.gamekee.com/dcj/81429.html
dcj,578955,光巴里,光巴里、服从边界,五星天子图鉴 / 五星光属性 / 光巴里,avatars_wiki/dcj_578955.png,https://cdnimg.gamekee.com/wiki2.0/images/w_78/h_81/1164/56174/2022/11/17/863257.png,https://www.gamekee.com/dcj/578955.html
dcj,81744,洛基,洛基,五星天子图鉴 / 五星光属性 / 洛基,avatars_wiki/dcj_81744.png,https://cdnimg-v2.gamekee.com/images/www/1625062324567_97089853.png,https://www.gamekee.com/dcj/81744.html
dcj,82032,提泰妮亚,提泰妮亚,五星天子图鉴 / 五星光属性 / 提泰妮亚,avatars_wiki/dcj_82032.png,https://cdnimg-v2.gamekee.com/images/www/1625399978315_43846249.png,https://www.gamekee.com/dcj/82032.html
dcj,81426,光击剑,布达拉曼特,五星天子图鉴 / 五星光属性 / 光击剑,avatars_wiki/dcj_81426.png,https://cdnimg-v2.gamekee.com/images/www/1624628238314_33928385.png,https://www.gamekee.com/dcj/81426.html
dcj,82030,艾尔布,艾尔布,五星天子图鉴 / 五星光属性 / 艾尔布,avatars_wiki/dcj_82030.png,https://cdnimg-v2.gamekee.com/images/www/1625399604082_14257341.png,https://www.gamekee.com/dcj/82030.html
dcj,81431,光琴,自请妃,五星天子图鉴 / 五星光属性 / 光琴,avatars_wiki/dcj_81431.png,https://cdnimg-v2.gamekee.com/images/www/1624795884152_39414282.png,https://www.gamekee.com/dcj/81431.html
dcj,82549,千鹤,千鹤,五星天子图鉴 / 五星光属性 / 千鹤,avatars_wiki/dcj_82549.png,https://cdnimg-v2.gamekee.com/images/www/1625833728788_95746815.png,https://www.gamekee.com/dcj/82549.html
dcj,82548,顶级亚利亚,亚利亚,五星天子图鉴 / 五星光属性 / 顶级亚利亚,avatars_wiki/dcj_82548.png,https://cdnimg-v2.gamekee.com/images/www/1625832723452_39668419.png,https://www.gamekee.com/dcj/82548.html
dcj,81015,白兔子,塞墨勒,五星天子图鉴 / 五星光属性 / 白兔子,avatars_wiki/dcj_81015.png,https://cdnimg-v2.gamekee.com/images/www/1624369536747_66228017.png,https://www.gamekee.com/dcj/81015.html
dcj,83672,赛特,赛特,五星天子图鉴 / 五星光属性 / 赛特,avatars_wiki/dcj_83672.png,https://cdnimg-v2.gamekee.com/images/www/1627205096642_6098519.png,https://www.gamekee.com/dcj/83672.html
dcj,82546,萨图恩,萨图恩,五星天子图鉴 / 五星光属性 / 萨图恩,avatars_wiki/dcj_82546.png,https://cdnimg-v2.gamekee.com/images/www/1625832333028_68551442.png,https://www.gamekee.com/dcj/82546.html
dcj,81054,蒙眼,娜塔莉丝,五星天子图鉴 / 五星光属性 / 蒙眼,avatars_wiki/dcj_81054.png,https://cdnimg-v2.gamekee.com/images/www/1624371718683_71456191.png,https://www.gamekee.com/dcj/81054.html
dcj,83675,朱诺,朱诺,五星天子图鉴 / 五星光属性 / 朱诺,avatars_wiki/dcj_83675.png,https://cdnimg-v2.gamekee.com/images/www/1627205217925_82477914.png,https://www.gamekee.com/dcj/83675.html
dcj,578959,萨曼罗拉,萨曼罗拉,五星天子图鉴 / 五星光属性 / 萨曼罗拉,avatars_wiki/dcj_578959.png,https://cdnimg.gamekee.com/wiki2.0/images/w_73/h_75/1164/56174/2022/11/17/483212.png,https://www.gamekee.com/dcj/578959.html
dcj,578984,黛博拉,驱魔师黛博拉,五星天子图鉴 / 五星光属性 / 黛博拉,avatars_wiki/dcj_578984.png,https://cdnimg.gamekee.com/wiki2.0/images/w_77/h_85/1164/56174/2022/11/17/91781.png,https://www.gamekee.com/dcj/578984.html
